+-------+-------------+----------------------------------------------------------------+----------------+--------+---------+---------------------+---------------------+
| id    | record_type | domain_name                                                    | record         | status | version | create_time         | update_time         |
| 29487 |           0 | flink-kafka-450-ai-platform.flink.ns.ai.vip.com                | 10.219.237.101 |      1 | v22     | 2018-10-23 18:36:13 | 2018-10-23 18:36:13 |
| 29488 |           0 | ai-platform-321-stormtest.storm.ns.ai.vip.com                  | 10.219.237.100 |      1 | v22     | 2018-10-23 18:38:08 | 2018-10-23 18:38:08 |
| 29489 |           0 | ai-platform-321-stormtest.storm.ns.ai.vip.com                  | 10.219.237.101 |      1 | v22     | 2018-10-23 18:38:08 | 2018-10-23 18:38:08 |
| 29490 |           0 | c-ai-platform-testmysqlsync-22850-27.spark.ns.ai.vip.com       | 10.219.237.100 |      0 | v22     | 2018-10-23 18:38:45 | 2018-10-23 18:45:12 |
| 29491 |           0 | c-ai-platform-testmysqlsync-22850-27.spark.ns.ai.vip.com       | 10.219.237.101 |      0 | v22     | 2018-10-23 18:38:45 | 2018-10-23 18:45:12 |
| 29492 |           0 | job-ai-platform-testmysqlsync-22850.spark.ns.ai.vip.com        | 10.219.237.100 |      1 | v22     | 2018-10-23 18:38:46 | 2018-10-23 18:38:46 |
| 29493 |           0 | job-ai-platform-testmysqlsync-22850.spark.ns.ai.vip.com        | 10.219.237.101 |      1 | v22     | 2018-10-23 18:38:46 | 2018-10-23 18:38:46 |
| 29494 |           0 | flink-kafka-451-ai-platform.flink.ns.ai.vip.com                | 10.219.237.100 |      1 | v22     | 2018-10-23 18:43:05 | 2018-10-23 18:43:05 |
| 29495 |           0 | flink-kafka-451-ai-platform.flink.ns.ai.vip.com                | 10.219.237.101 |      1 | v22     | 2018-10-23 18:43:05 | 2018-10-23 18:43:05 |
| 29496 |           0 | ai-platform-322-stormtest.storm.ns.ai.vip.com                  | 10.219.237.100 |      1 | v22     | 2018-10-23 18:44:00 | 2018-10-23 18:44:00 |
| 29497 |           0 | ai-platform-322-stormtest.storm.ns.ai.vip.com                  | 10.219.237.101 |      1 | v22     | 2018-10-23 18:44:00 | 2018-10-23 18:44:00 |
| 29498 |           0 | c-finance-ebs-dev-save-otb-pre-22851-55.spark.ns.ai.vip.com    | 10.219.237.100 |      0 | v22     | 2018-10-23 18:44:09 | 2018-10-24 18:54:14 |
| 29499 |           0 | c-finance-ebs-dev-save-otb-pre-22851-55.spark.ns.ai.vip.com    | 10.219.237.101 |      0 | v22     | 2018-10-23 18:44:09 | 2018-10-24 18:54:14 |
| 29500 |           0 | job-finance-ebs-dev-save-otb-pre-22851.spark.ns.ai.vip.com     | 10.219.237.100 |      1 | v22     | 2018-10-23 18:44:09 | 2018-10-23 18:44:09 |
| 29501 |           0 | job-finance-ebs-dev-save-otb-pre-22851.spark.ns.ai.vip.com     | 10.219.237.101 |      1 | v22     | 2018-10-23 18:44:09 | 2018-10-23 18:44:09 |
| 29502 |           0 | c-finance-ebs-dev-save-otb-poreci-22852-33.spark.ns.ai.vip.com | 10.219.237.100 |      0 | v22     | 2018-10-23 18:44:14 | 2018-10-24 18:54:08 |
| 29503 |           0 | c-finance-ebs-dev-save-otb-poreci-22852-33.spark.ns.ai.vip.com | 10.219.237.101 |      0 | v22     | 2018-10-23 18:44:14 | 2018-10-24 18:54:08 |
| 29504 |           0 | job-finance-ebs-dev-save-otb-poreci-22852.spark.ns.ai.vip.com  | 10.219.237.100 |      1 | v22     | 2018-10-23 18:44:14 | 2018-10-23 18:44:14 |
| 29505 |           0 | job-finance-ebs-dev-save-otb-poreci-22852.spark.ns.ai.vip.com  | 10.219.237.101 |      1 | v22     | 2018-10-23 18:44:14 | 2018-10-23 18:44:14 |
| 29506 |           0 | supplier-stat-452-ad-plarform.flink.ai.vip.com                 | 10.208.75.211  |      1 | v22     | 2018-10-23 18:44:40 | 2018-10-23 18:44:40 |
| 29507 |           0 | job-demand-forecast-dev-ppg-22853.spark.ns.ai.vip.com          | 10.219.237.100 |      1 | v22     | 2018-10-23 18:44:58 | 2018-10-23 18:44:58 |
| 29508 |           0 | job-demand-forecast-dev-ppg-22853.spark.ns.ai.vip.com          | 10.219.237.101 |      1 | v22     | 2018-10-23 18:44:58 | 2018-10-23 18:44:58 |
| 29509 |           0 | c-finance-ebs-dev-save-otb-detail-22854-11.spark.ns.ai.vip.com | 10.219.237.100 |      0 | v22     | 2018-10-23 18:47:14 | 2018-10-24 18:54:03 |
| 29510 |           0 | c-finance-ebs-dev-save-otb-detail-22854-11.spark.ns.ai.vip.com | 10.219.237.101 |      0 | v22     | 2018-10-23 18:47:14 | 2018-10-24 18:54:03 |
| 29511 |           0 | job-finance-ebs-dev-save-otb-detail-22854.spark.ns.ai.vip.com  | 10.219.237.100 |      1 | v22     | 2018-10-23 18:47:14 | 2018-10-23 18:47:14 |
| 29512 |           0 | job-finance-ebs-dev-save-otb-detail-22854.spark.ns.ai.vip.com  | 10.219.237.101 |      1 | v22     | 2018-10-23 18:47:14 | 2018-10-23 18:47:14 |
| 29513 |           0 | c-finance-ebs-dev-save-ppso-pre-22855-48.spark.ns.ai.vip.com   | 10.219.237.100 |      0 | v22     | 2018-10-23 18:50:39 | 2018-10-24 18:53:55 |
| 29514 |           0 | c-finance-ebs-dev-save-ppso-pre-22855-48.spark.ns.ai.vip.com   | 10.219.237.101 |      0 | v22     | 2018-10-23 18:50:39 | 2018-10-24 18:53:55 |
| 29515 |           0 | job-finance-ebs-dev-save-ppso-pre-22855.spark.ns.ai.vip.com    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:50:39 | 2018-10-23 18:50:39 |
